Current local time and date: Sun Nov 10 20:01:25 2013
[  NORMAL ]  Creating simple 4x4 lattice...
[  NORMAL ]  Creating geometry...
[  NORMAL ]  Number of flat source regions: 1280
[  NORMAL ]  Reading tracks in from file
[  NORMAL ]  Initializing track boundary conditions...
[  NORMAL ]  Converging the source...
[  NORMAL ]  Iteration 76: 	k_eff = 1.251824	res = 4.945E-02
[  NORMAL ]  Iteration 77: 	k_eff = 1.251885	res = 4.943E-02
[  NORMAL ]  Iteration 78: 	k_eff = 1.251944	res = 4.941E-02
[  NORMAL ]  Iteration 79: 	k_eff = 1.251999	res = 4.940E-02
[  NORMAL ]  Iteration 80: 	k_eff = 1.252052	res = 4.938E-02
[  NORMAL ]  Iteration 81: 	k_eff = 1.252102	res = 4.937E-02
[  NORMAL ]  Iteration 82: 	k_eff = 1.252150	res = 4.935E-02
[  NORMAL ]  Iteration 83: 	k_eff = 1.252196	res = 4.934E-02
[  NORMAL ]  Iteration 84: 	k_eff = 1.252240	res = 4.933E-02
[  NORMAL ]  Iteration 85: 	k_eff = 1.252281	res = 4.932E-02
[  NORMAL ]  Iteration 86: 	k_eff = 1.252321	res = 4.931E-02
[  NORMAL ]  Iteration 87: 	k_eff = 1.252359	res = 4.929E-02
[  NORMAL ]  Iteration 88: 	k_eff = 1.252395	res = 4.928E-02
[  NORMAL ]  Iteration 89: 	k_eff = 1.252429	res = 4.928E-02
[  NORMAL ]  Iteration 90: 	k_eff = 1.252462	res = 4.927E-02
[  NORMAL ]  Iteration 91: 	k_eff = 1.252492	res = 4.926E-02
[  NORMAL ]  Iteration 92: 	k_eff = 1.252522	res = 4.925E-02
[  NORMAL ]  Iteration 93: 	k_eff = 1.252550	res = 4.924E-02
[  NORMAL ]  Iteration 94: 	k_eff = 1.252577	res = 4.923E-02
[  NORMAL ]  Iteration 95: 	k_eff = 1.252603	res = 4.923E-02
[  NORMAL ]  Iteration 96: 	k_eff = 1.252627	res = 4.922E-02
[  NORMAL ]  Iteration 97: 	k_eff = 1.252651	res = 4.921E-02
[  NORMAL ]  Iteration 98: 	k_eff = 1.252673	res = 4.921E-02
[  NORMAL ]  Iteration 99: 	k_eff = 1.252694	res = 4.920E-02
[  NORMAL ]  Iteration 100: 	k_eff = 1.252714	res = 4.919E-02
[  NORMAL ]  Iteration 101: 	k_eff = 1.252733	res = 4.919E-02
[  NORMAL ]  Iteration 102: 	k_eff = 1.252752	res = 4.918E-02
[  NORMAL ]  Iteration 103: 	k_eff = 1.252769	res = 4.918E-02
[  NORMAL ]  Iteration 104: 	k_eff = 1.252786	res = 4.917E-02
[  NORMAL ]  Iteration 105: 	k_eff = 1.252802	res = 4.917E-02
[  NORMAL ]  Iteration 106: 	k_eff = 1.252817	res = 4.917E-02
[  NORMAL ]  Iteration 107: 	k_eff = 1.252831	res = 4.916E-02
[  NORMAL ]  Iteration 108: 	k_eff = 1.252845	res = 4.916E-02
[  NORMAL ]  Iteration 109: 	k_eff = 1.252858	res = 4.915E-02
[  NORMAL ]  Iteration 110: 	k_eff = 1.252870	res = 4.915E-02
[  NORMAL ]  Iteration 111: 	k_eff = 1.252882	res = 4.915E-02
[  NORMAL ]  Iteration 112: 	k_eff = 1.252894	res = 4.914E-02
[  NORMAL ]  Iteration 113: 	k_eff = 1.252904	res = 4.914E-02
[  NORMAL ]  Iteration 114: 	k_eff = 1.252915	res = 4.914E-02
[  NORMAL ]  Iteration 115: 	k_eff = 1.252925	res = 4.914E-02
[  NORMAL ]  Iteration 116: 	k_eff = 1.252934	res = 4.913E-02
[  NORMAL ]  Iteration 117: 	k_eff = 1.252943	res = 4.913E-02
[  NORMAL ]  Iteration 118: 	k_eff = 1.252951	res = 4.913E-02
[  NORMAL ]  Iteration 119: 	k_eff = 1.252959	res = 4.913E-02
[  NORMAL ]  Iteration 120: 	k_eff = 1.252967	res = 4.912E-02
[  NORMAL ]  Iteration 121: 	k_eff = 1.252975	res = 4.912E-02
[  NORMAL ]  Iteration 122: 	k_eff = 1.252981	res = 4.912E-02
[  NORMAL ]  Iteration 123: 	k_eff = 1.252988	res = 4.912E-02
[  NORMAL ]  Iteration 124: 	k_eff = 1.252995	res = 4.912E-02
[  NORMAL ]  Iteration 125: 	k_eff = 1.253001	res = 4.911E-02
[  NORMAL ]  Iteration 126: 	k_eff = 1.253006	res = 4.911E-02
[  NORMAL ]  Iteration 127: 	k_eff = 1.253012	res = 4.911E-02
[  NORMAL ]  Iteration 128: 	k_eff = 1.253017	res = 4.911E-02
